ID,WF-to-POWL converter,Transitions,Labeled Transitions,Places,Arcs,POWL Leaves,WF-to-tree coverter,Size (|Transitions| + |Places|)
68,0.002999306,21,13,15,44,13,0.031582355,36
896,0.005447626,25,20,17,54,20,0.013007879,42
464,0.006085396,24,14,19,52,14,0.020998478,43
902,0.013659716,30,14,21,60,14,0.037001848,51
685,0.008071661,29,14,23,64,14,0.062576532,52
740,0.005998611,28,16,25,66,16,0.089205503,53
713,0.011963129,32,18,22,68,18,0.077706575,54
801,0.010077238,29,16,28,68,16,0.034998655,57
956,0.022010565,29,17,28,68,17,0.081171036,57
633,0.006036997,32,20,26,70,20,0.036404848,58
834,0.01312232,33,17,27,72,17,0.051924467,60
450,0.006999493,33,16,28,74,16,0.063245058,61
28,0.014068127,30,17,32,72,17,0.096629858,62
802,0.006079435,32,23,32,78,23,0.054977179,64
251,0.007033825,32,20,33,78,20,0.066131353,65
63,0.009999752,35,20,31,82,20,0.175168276,66
449,0.007999182,36,20,30,80,20,0.061005592,66
169,0.007120848,32,24,34,82,24,0.078392744,66
715,0.008999825,36,20,31,80,20,0.094907045,67
836,0.014999151,38,20,30,84,20,0.0779984,68
691,0.016073465,39,21,31,86,21,0.10767293,70
36,0.011070251,36,24,34,88,24,0.064998865,70
912,0.026123285,37,26,33,82,26,0.056999445,70
407,0.016972303,40,21,31,86,21,0.206460476,71
114,0.010031462,35,18,37,88,18,0.296938658,72
183,0.0189991,42,21,30,88,21,0.195437908,72
173,0.01500535,42,26,32,94,26,0.147407532,74
473,0.019999504,39,20,36,90,20,0.08101058,75
117,0.027808189,44,26,34,100,26,0.407755613,78
992,0.027071714,42,30,36,100,30,0.183163404,78
313,0.017478704,44,21,35,100,21,0.265074253,79
69,0.020999432,42,22,37,96,22,0.310668468,79
334,0.009032011,44,23,38,102,23,0.308242559,82
379,0.023001909,45,24,37,98,24,0.225721836,82
206,0.012002468,46,30,38,102,30,0.105978966,84
224,0.011132002,42,25,43,102,25,0.111508131,85
729,0.017990112,47,25,38,106,25,0.160131454,85
746,0.019999504,46,24,40,106,24,0.180140018,86
605,0.013197184,42,25,44,102,25,0.113999128,86
276,0.017669439,47,27,39,106,27,0.286068916,86
471,0.012998343,48,28,39,110,28,0.110567093,87
388,0.025369644,46,27,43,104,27,0.272830248,89
13,0.010999441,50,27,40,110,27,0.14579463,90
435,0.021520138,45,27,46,110,27,0.321239471,91
977,0.038210392,45,29,46,114,29,0.124007225,91
118,0.014086485,53,32,38,116,32,0.476659298,91
136,0.012140512,45,30,47,112,30,0.266313314,92
35,0.025999784,54,28,40,116,28,0.238715649,94
115,0.030997038,53,27,42,120,27,0.414339781,95
641,0.019089699,52,31,43,122,31,0.192017317,95
922,0.036046743,49,29,47,118,29,0.172458887,96
415,0.021999598,51,34,45,118,34,0.483733892,96
466,0.028006792,49,27,50,120,27,0.240265846,99
640,0.030959129,58,31,41,124,31,0.302117586,99
770,0.03592205,54,29,46,120,29,0.278682232,100
148,0.02008152,54,31,47,122,31,0.449889421,101
170,0.029510021,51,25,51,124,25,1.057493448,102
692,0.016129732,52,36,50,128,36,0.461581945,102
19,0.012000084,52,31,51,128,31,0.224001169,103
597,0.014999866,58,32,47,132,32,0.260781527,105
748,0.01699996,52,33,53,130,33,0.372737646,105
726,0.070827246,54,34,51,130,34,0.570106745,105
737,0.020076275,53,35,52,128,35,0.22904253,105
531,0.035630703,59,32,47,130,32,0.25412178,106
384,0.01607585,57,39,49,126,39,0.383735418,106
339,0.023999929,55,33,54,132,33,0.539397001,109
424,0.03906703,60,34,49,132,34,0.271123409,109
558,0.022160769,59,37,50,132,37,0.555821419,109
923,0.065814018,58,29,52,134,29,0.262554169,110
293,0.023003817,59,31,51,132,31,0.57186842,110
85,0.020998716,61,32,49,134,32,0.892905712,110
867,0.074982405,61,28,50,136,28,0.805381536,111
166,0.086985111,62,33,49,134,33,0.852124929,111
988,0.174793959,59,34,52,134,34,0.969200373,111
74,0.04070425,60,28,52,136,28,1.057785034,112
51,0.019073248,61,35,51,140,35,0.256836176,112
343,0.016043425,55,33,58,138,33,0.656388998,113
727,0.034448147,61,32,53,138,32,0.442245245,114
332,0.032745123,63,33,51,140,33,0.72705102,114
486,0.031725645,58,36,56,138,36,0.250800848,114
8,0.036000013,63,38,51,144,38,0.2646873,114
465,0.019999266,58,32,57,142,32,0.507641315,115
742,0.029008865,62,35,53,144,35,0.440003872,115
585,0.019914865,61,36,54,140,36,0.303139925,115
124,0.028092623,59,39,57,142,39,0.724234581,116
695,0.032000303,61,30,56,144,30,0.65278697,117
543,0.029993296,69,43,48,150,43,0.345871687,117
130,0.020513535,67,46,51,146,46,0.633117199,118
811,0.030999899,65,32,54,144,32,0.362917662,119
82,0.020125151,66,38,53,148,38,0.793667078,119
252,0.02406764,63,33,58,146,33,0.585506916,121
559,0.018996716,65,38,56,148,38,1.20245862,121
845,0.04865098,71,42,50,152,42,0.960145473,121
