ID,Transitions,Labeled Transitions,Places,Arcs,POWL Time (sec),POWL Leaves,Tree Time (sec)
1,13,8,13,28,0.003000736,8,0.006412745
2,22,16,21,48,0.006001949,16,0.029997826
3,14,11,13,30,0.004071236,11,0.01000762
4,12,10,16,32,0.005997896,10,error
5,14,11,12,28,0.002997398,11,0.004999876
6,14,10,13,30,0.001999617,10,0.003999949
7,25,13,24,58,0.005076408,13,0.019994497
8,12,12,12,26,0.001966,12,0.00399971
9,16,13,18,38,0.004999399,13,0.005998611
10,18,9,17,40,0.002999067,9,0.008000135
11,21,12,22,50,0.003999472,12,0.012000084
12,14,10,14,32,0.00200963,10,0.004999638
13,11,9,10,22,0.001953363,9,0.000999451
14,10,10,10,20,0.001041412,10,0.002001762
15,12,10,14,28,0.001322985,10,0.002676487
16,30,24,33,72,0.007999659,24,0.06716466
17,32,25,30,70,0.007998943,25,0.023999929
18,41,26,37,88,0.013998985,26,0.050998926
19,11,8,12,26,0.000998974,8,error
20,15,13,17,36,0.001998425,13,error
AVG,,,,,0.004121578,,0.015191289
